score,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0.701196,0.07697487,144.0,0.0006686856,1,0train,22,2,BNCI2014-001,LogVar + LDA
0.80652004,0.06802654,144.0,0.00126163,1,1test,22,2,BNCI2014-001,LogVar + LDA
0.5688657,0.10862708,144.0,0.001026875,2,0train,22,2,BNCI2014-001,LogVar + LDA
0.50906634,0.10399008,144.0,0.0019749242,2,1test,22,2,BNCI2014-001,LogVar + LDA
0.96508485,0.07861495,144.0,0.000769191,3,0train,22,2,BNCI2014-001,LogVar + LDA
0.9386574,0.08994579,144.0,0.0015744761,3,1test,22,2,BNCI2014-001,LogVar + LDA
0.65933645,0.13672829,144.0,0.0011884571,4,0train,22,2,BNCI2014-001,LogVar + LDA
0.5964506,0.09927678,144.0,0.002055626,4,1test,22,2,BNCI2014-001,LogVar + LDA
0.53510803,0.059975147,144.0,0.00052142335,5,0train,22,2,BNCI2014-001,LogVar + LDA
0.50655866,0.061089277,144.0,0.001053076,5,1test,22,2,BNCI2014-001,LogVar + LDA
0.62808645,0.06830907,144.0,0.00061218394,6,0train,22,2,BNCI2014-001,LogVar + LDA
0.5960648,0.072009325,144.0,0.0012173782,6,1test,22,2,BNCI2014-001,LogVar + LDA
0.66878855,0.06337428,144.0,0.000527947,7,0train,22,2,BNCI2014-001,LogVar + LDA
0.7339892,0.05915141,144.0,0.0010338187,7,1test,22,2,BNCI2014-001,LogVar + LDA
0.97472996,0.074846745,144.0,0.00064899074,8,0train,22,2,BNCI2014-001,LogVar + LDA
0.9681713,0.07108092,144.0,0.0012704332,8,1test,22,2,BNCI2014-001,LogVar + LDA
0.7957176,0.069838524,144.0,0.0006199477,9,0train,22,2,BNCI2014-001,LogVar + LDA
0.9205247,0.066746235,144.0,0.0012115884,9,1test,22,2,BNCI2014-001,LogVar + LDA
0.7334105,0.1105299,144.0,0.0009937679,1,0train,22,2,BNCI2014-001,LogVar + LogReg
0.7112269,0.0935719,144.0,0.0017860817,1,1test,22,2,BNCI2014-001,LogVar + LogReg
0.54128087,0.10603094,144.0,0.0009926809,2,0train,22,2,BNCI2014-001,LogVar + LogReg
0.55748457,0.117381096,144.0,0.002057213,2,1test,22,2,BNCI2014-001,LogVar + LogReg
0.9222608,0.12318468,144.0,0.0009970301,3,0train,22,2,BNCI2014-001,LogVar + LogReg
0.91473764,0.12885642,144.0,0.002130369,3,1test,22,2,BNCI2014-001,LogVar + LogReg
0.6282793,0.08245492,144.0,0.0006866528,4,0train,22,2,BNCI2014-001,LogVar + LogReg
0.57388115,0.078952074,144.0,0.0014126499,4,1test,22,2,BNCI2014-001,LogVar + LogReg
0.50906634,0.066732645,144.0,0.0005802632,5,0train,22,2,BNCI2014-001,LogVar + LogReg
0.49035493,0.07256603,144.0,0.0012060315,5,1test,22,2,BNCI2014-001,LogVar + LogReg
0.6533565,0.1008935,144.0,0.0008904766,6,0train,22,2,BNCI2014-001,LogVar + LogReg
